epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.549,1.84723,3.1479,3.33782,0.42726,0.11852,0.09864,0.0531,1.45082,2.14921,3.34756,0.000407407,0.000407407,0.000407407
2,524.084,1.25242,1.75541,3.01303,0.43333,0.42663,0.36542,0.20624,1.31028,1.50013,3.27044,0.000815916,0.000815916,0.000815916
3,774.081,1.14872,1.37311,2.92433,0.47861,0.59237,0.49627,0.28885,1.28632,1.41636,3.21379,0.00121617,0.00121617,0.00121617
4,1003.7,1.10215,1.2457,2.89149,0.61885,0.6824,0.65799,0.42102,1.14864,1.20599,3.10385,0.00121287,0.00121287,0.00121287
5,1223.55,1.07934,1.16282,2.88781,0.68394,0.72947,0.72718,0.46938,1.1142,1.13606,3.05769,0.0012005,0.0012005,0.0012005
6,1439.61,1.03374,1.07653,2.84451,0.65838,0.79528,0.78613,0.51669,1.05401,1.03714,3.05445,0.00118812,0.00118812,0.00118812
7,1644.61,1.01013,1.04604,2.82021,0.67537,0.78299,0.7845,0.48585,1.07829,1.10094,2.97044,0.00117575,0.00117575,0.00117575
8,1859.47,0.95642,0.99165,2.80838,0.70165,0.7094,0.74575,0.4903,1.07598,1.03914,3.06048,0.00116337,0.00116337,0.00116337
9,2092.04,0.96936,1.00805,2.77878,0.78044,0.78545,0.82802,0.54187,1.01291,0.96665,2.97167,0.001151,0.001151,0.001151
10,2318.18,0.92701,0.94285,2.74177,0.75909,0.76682,0.83406,0.57634,0.97232,0.92529,2.97044,0.00113863,0.00113863,0.00113863
11,2529.29,0.93793,0.94963,2.75501,0.70197,0.78136,0.79162,0.53763,0.97702,0.97496,2.96776,0.00112625,0.00112625,0.00112625
12,2736.18,0.92556,0.92704,2.74099,0.74523,0.76433,0.78895,0.53955,0.99773,0.94542,2.94246,0.00111388,0.00111388,0.00111388
13,2969.09,0.91985,0.9239,2.76098,0.75074,0.76104,0.80232,0.53729,1.00455,0.94069,2.88578,0.0011015,0.0011015,0.0011015
14,3193.99,0.90501,0.90951,2.70296,0.67403,0.79558,0.76834,0.52011,0.98879,0.97745,2.89787,0.00108913,0.00108913,0.00108913
15,3405.64,0.89139,0.86962,2.70598,0.75881,0.78301,0.83996,0.584,0.98477,0.88409,2.84742,0.00107675,0.00107675,0.00107675
16,3617.33,0.90724,0.86511,2.70073,0.78563,0.76637,0.83391,0.57507,0.9472,0.87433,2.80641,0.00106437,0.00106437,0.00106437
17,3820.29,0.85738,0.83161,2.65821,0.75695,0.74104,0.82277,0.56785,0.9352,0.90062,2.89151,0.001052,0.001052,0.001052
18,4047.27,0.87755,0.81606,2.6523,0.73157,0.79692,0.81342,0.56731,0.95156,0.85352,2.90307,0.00103962,0.00103962,0.00103962
19,4254.98,0.871,0.80683,2.67436,0.69844,0.78405,0.78633,0.56714,0.92467,0.86652,2.84997,0.00102725,0.00102725,0.00102725
20,4458.48,0.8427,0.7905,2.67268,0.71681,0.84649,0.85333,0.60658,0.94187,0.84897,2.81611,0.00101488,0.00101488,0.00101488
21,4676.35,0.82965,0.77947,2.63786,0.73691,0.74104,0.80246,0.55916,0.92821,0.88801,2.8232,0.0010025,0.0010025,0.0010025
22,4892.35,0.84319,0.80116,2.63846,0.77021,0.79796,0.83899,0.60574,0.88672,0.83298,2.82161,0.000990125,0.000990125,0.000990125
23,5114.76,0.8221,0.77116,2.61001,0.79948,0.78755,0.83997,0.59454,0.89403,0.80896,2.78654,0.00097775,0.00097775,0.00097775
24,5340.24,0.8271,0.77113,2.62708,0.78392,0.79919,0.8561,0.62133,0.91438,0.79676,2.74095,0.000965375,0.000965375,0.000965375
